,id_string,"Andrew G. ""Andy"" Baan  Republican",Jarome Bell  Republican,Jen A. Kiggans  Republican,L. Tommy Altman III  Republican,Precinct_#,County
89,086 - HAYGOOD (02),4,60,249,38,086 ,VIRGINIA_BEACH_CITY
90,087 - HILLCREST (02),5,51,129,18,087 ,VIRGINIA_BEACH_CITY
91,088 - NORTH LANDING (02),1,44,81,24,088 ,VIRGINIA_BEACH_CITY
92,089 - LAKE CHRISTOPHER (02),4,62,169,19,089 ,VIRGINIA_BEACH_CITY
93,090 - LAKE JOYCE (02),3,42,124,18,090 ,VIRGINIA_BEACH_CITY
94,091 - LEXINGTON (02),2,41,71,9,091 ,VIRGINIA_BEACH_CITY
95,092 - LITTLE NECK (02),5,42,291,15,092 ,VIRGINIA_BEACH_CITY
96,093 - NEWTOWN (02),5,8,21,7,093 ,VIRGINIA_BEACH_CITY
97,094 - PINEWOOD (02),3,33,104,8,094 ,VIRGINIA_BEACH_CITY
98,095 - DAM NECK (02),2,31,73,33,095 ,VIRGINIA_BEACH_CITY
99,096 - HILLTOP (02),2,41,39,9,096 ,VIRGINIA_BEACH_CITY
100,097 - INDIAN RIVER (02),2,42,49,10,097 ,VIRGINIA_BEACH_CITY
101,098 - INDEPENDENCE (02),1,4,25,0,098 ,VIRGINIA_BEACH_CITY
102,099 - SALEM WOODS (02),0,21,47,8,099 ,VIRGINIA_BEACH_CITY
103,100 - SANDBRIDGE (02),0,32,108,43,100 ,VIRGINIA_BEACH_CITY
104,Member House of Representatives (02),1237,11330,23300,5972,Memb,VIRGINIA_BEACH_CITY
105,Member House of Representatives (02) - VIRGINIA BEACH CITY,675,5084,15134,3118,Memb,VIRGINIA_BEACH_CITY
