County/City,Ward,Pct,"Jennifer Ann Kiggans","Jarome Bell","Larry Thomas Altman, III","Andrew George Baan","All Others","Total Votes Cast"
"Virginia Beach City",-,"95 - Dam Neck",73,31,33,2,0,139
"Virginia Beach City",-,"96 - Hilltop",39,41,9,2,0,91
"Virginia Beach City",-,"97 - Indian River",49,42,10,2,0,103
"Virginia Beach City",-,"98 - Independence",25,4,0,1,0,30
"Virginia Beach City",-,"99 - Salem Woods",47,21,8,0,0,76
"Virginia Beach City",-,"100 - Sandbridge",108,32,43,0,0,183
"Virginia Beach City",-,"##ab - Central Absentee Precinct","1,118",228,167,154,0,"1,667"
"Virginia Beach City",-,"##ev - Central Absentee Precinct",958,301,256,44,0,"1,559"
"Virginia Beach City",-,"##pe - Central Absentee Precinct",112,31,20,8,0,171
"Virginia Beach City",-,Provisional,24,5,4,0,0,33
TOTALS,,,"23,300","11,330","5,972","1,237",0,"41,839"
